rowid,name
1007,中国计量大学现代科技学院
1008,浙江财经大学东方学院
1009,温州商学院
1010,同济大学浙江学院
1011,上海财经大学浙江学院
1012,浙江外国语学院
1013,浙江音乐学院
1014,宁波诺丁汉大学
1015,温州肯恩大学
1016,宁波职业技术学院
1017,温州职业技术学院
1018,浙江交通职业技术学院
1019,金华职业技术学院
1020,宁波城市职业技术学院
1021,浙江电力职业技术学院
1022,浙江同济科技职业学院
1023,浙江工商职业技术学院
1024,台州职业技术学院
1025,浙江工贸职业技术学院
1026,浙江医药高等专科学校
1027,浙江机电职业技术学院
1028,浙江建设职业技术学院
1029,浙江艺术职业学院
1030,浙江经贸职业技术学院
1031,浙江商业职业技术学院
1032,浙江经济职业技术学院
1033,浙江旅游职业学院
1034,浙江育英职业技术学院
1035,浙江警官职业学院
1036,浙江金融职业学院
1037,浙江工业职业技术学院
1038,杭州职业技术学院
1039,嘉兴职业技术学院
1040,湖州职业技术学院
1041,绍兴职业技术学院
1042,衢州职业技术学院
1043,丽水职业技术学院
1044,浙江东方职业技术学院
1045,义乌工商职业技术学院
1046,浙江纺织服装职业技术学院
1047,杭州科技职业技术学院
1048,浙江长征职业技术学院
1049,嘉兴南洋职业技术学院
1050,浙江广厦建设职业技术学院
1051,杭州万向职业技术学院
1052,浙江邮电职业技术学院
1053,宁波卫生职业技术学院
1054,台州科技职业学院
1055,浙江国际海运职业技术学院
1056,浙江体育职业技术学院
1057,温州科技职业学院
1058,浙江汽车职业技术学院
1059,浙江横店影视职业学院
1060,浙江农业商贸职业学院
1061,浙江特殊教育职业学院
1062,浙江安防职业技术学院
1063,浙江舟山群岛新区旅游与健康职业学院
1064,安徽大学
1065,中国科学技术大学
1066,合肥工业大学
1067,安徽工业大学
1068,安徽理工大学
1069,安徽工程大学
1070,安徽农业大学
1071,安徽医科大学
1072,蚌埠医学院
1073,皖南医学院
1074,安徽中医药大学
1075,安徽师范大学
1076,阜阳师范学院
1077,安庆师范大学
1078,淮北师范大学
1079,黄山学院
1080,皖西学院
1081,滁州学院
1082,安徽财经大学
1083,宿州学院
1084,巢湖学院
1085,淮南师范学院
1086,铜陵学院
1087,安徽建筑大学
1088,安徽科技学院
1089,安徽三联学院
1090,合肥学院
1091,蚌埠学院
1092,池州学院
1093,安徽新华学院
1094,安徽文达信息工程学院
1095,亳州学院
1096,安徽外国语学院
1097,安徽财经大学商学院
1098,安徽大学江淮学院
1099,安徽信息工程学院
1100,安徽工业大学工商学院
1101,安徽建筑大学城市建设学院
1102,安徽农业大学经济技术学院
1103,安徽师范大学皖江学院
1104,安徽医科大学临床医学院
1105,阜阳师范学院信息工程学院
1106,淮北师范大学信息学院
1107,合肥师范学院
1108,河海大学文天学院
1109,安徽职业技术学院
1110,淮北职业技术学院
1111,芜湖职业技术学院
1112,淮南联合大学
1113,安徽商贸职业技术学院
1114,安徽水利水电职业技术学院
1115,阜阳职业技术学院
1116,铜陵职业技术学院
1117,民办万博科技职业学院
1118,安徽警官职业学院
1119,淮南职业技术学院
1120,安徽工业经济职业技术学院
1121,合肥通用职业技术学院
1122,安徽工贸职业技术学院
1123,宿州职业技术学院
1124,六安职业技术学院
1125,安徽电子信息职业技术学院
1126,民办合肥经济技术职业学院
1127,安徽交通职业技术学院
1128,安徽体育运动职业技术学院
